qid,source,page,difficulty,domain_code,domain,skill_code,skill,external_id,ibn,uid
19debdc0,medium,80,M,H,Algebra,H.A.,Linear equations in one variable,8bdd11c4-883c-4c29-8b66-7317da6fa620,,38a61116-dd6a-480c-bba3-55b69503648c
5a83e25e,medium,81,M,H,Algebra,H.E.,Linear inequalities in one or two variables,107f2958-2f2a-4923-a1e5-a326f7a59587,,390069ec-b3cc-46be-9d74-04e42eaef0d3
ad532470,medium,82,M,H,Algebra,H.E.,Linear inequalities in one or two variables,,042521-DC,399de04a-066e-4fcb-bee6-9b470c9b259d
89dc31cd,medium,83,M,H,Algebra,H.A.,Linear equations in one variable,,092917-DC,39ac4e7d-e6c2-48df-8593-e42099d9312f
4fa1f84d,medium,84,M,H,Algebra,H.A.,Linear equations in one variable,ea3206e5-4842-4f6d-84d1-390983f01ef5,,3aa9de95-f53a-43c2-81e2-b25aa0c969ae
9f5027f7,medium,85,M,H,Algebra,H.C.,Linear equations in two variables,46dfa8f5-1bbb-489b-831e-9e9d6ac0ba40,,3b712e18-3a63-40d7-a047-3f822e3672f7
cdb13018,medium,86,M,H,Algebra,H.C.,Linear equations in two variables,,077907-DC,3c80ac44-f88b-44bb-86d7-af97f802b627
a495e764,medium,87,M,H,Algebra,H.C.,Linear equations in two variables,014ed22b-32aa-47c7-a973-2db4d5a3a4ca,,3cee34d1-9c2f-4312-97cc-cfd4e58519da
a0feb8c3,medium,88,M,H,Algebra,H.D.,Systems of two linear equations in two variables,,118120-DC,3de12387-d7a5-49c2-b9b7-ecc12fbbeef3
86f1bedd,medium,89,M,H,Algebra,H.B.,Linear functions,057f3ed2-a8dc-4e71-9433-fb7e73d662c2,,3e392d5f-956e-4639-9f7c-076249cc2408
687110c7,medium,90,M,H,Algebra,H.A.,Linear equations in one variable,3dd2c605-b39e-4fe9-b6f8-8a04c0a5166a,,3e616e1c-a7b4-43c6-94fe-6ca2d3430ed7
c973e229,medium,91,M,H,Algebra,H.A.,Linear equations in one variable,cf7fa0a1-6023-4e95-a549-b761c00cb4ff,,3f81718a-eb02-4da0-a0c1-a48369b91e89
ddf89d1c,medium,92,M,H,Algebra,H.B.,Linear functions,fe8d03ce-4ed6-4186-b168-0333823eeb14,,40d87aa9-8767-484f-9550-7df0504a1c8a
02961e1a,medium,93,M,H,Algebra,H.C.,Linear equations in two variables,,049001-DC,41bde202-d058-451b-b2ac-e70d3f73de08
803d7bf2,medium,94,M,H,Algebra,H.A.,Linear equations in one variable,40943fee-b92a-418a-aa8c-aa17a8cd66f6,,422b5a9b-e6da-4ed9-8df4-37ea1e9ec6af
5ceebcd9,medium,95,M,H,Algebra,H.B.,Linear functions,,097611-DC,429eb9ec-9037-40dc-9876-24a96f98533b
53e362f2,medium,96,M,H,Algebra,H.C.,Linear equations in two variables,784ba4f2-eaee-4723-bbb2-4ba67b7239e5,,42b9489b-5c63-42f9-b9ea-d46d8135423a
04d1e6fd,medium,97,M,H,Algebra,H.D.,Systems of two linear equations in two variables,,090116-DC,43e87d34-6cb6-4ee9-9bb9-5bf87f00bdcf
4108cbf5,medium,98,M,H,Algebra,H.A.,Linear equations in one variable,1e6e001f-0634-4bf8-af02-c4be12052a53,,4435b967-d095-4e00-8a0b-9a5e9d75b0ec
